"SNP" "Gene"
"SNP850" "Gene4067"
"SNP850" "Gene4296"
"SNP856" "Gene967"
"SNP856" "Gene2486"
"SNP856" "Gene4250"
"SNP856" "Gene4399"
"SNP858" "Gene1621"
"SNP858" "Gene3872"
"SNP863" "Gene977"
"SNP863" "Gene2131"
"SNP863" "Gene2523"
"SNP866" "Gene644"
"SNP866" "Gene679"
"SNP866" "Gene741"
"SNP866" "Gene743"
"SNP866" "Gene805"
"SNP866" "Gene2036"
"SNP866" "Gene2610"
"SNP866" "Gene2744"
"SNP866" "Gene2829"
"SNP866" "Gene3000"
"SNP866" "Gene3198"
"SNP866" "Gene3533"
"SNP866" "Gene3576"
"SNP866" "Gene3779"
"SNP866" "Gene3970"
"SNP872" "Gene757"
"SNP872" "Gene982"
"SNP872" "Gene1055"
"SNP872" "Gene1333"
"SNP872" "Gene2606"
"SNP872" "Gene2772"
"SNP872" "Gene3065"
"SNP872" "Gene3104"
"SNP872" "Gene4142"
"SNP872" "Gene4145"
"SNP872" "Gene4232"
"SNP878" "Gene1241"
"SNP878" "Gene1867"
"SNP878" "Gene3845"
"SNP880" "Gene417"
"SNP880" "Gene1236"
"SNP880" "Gene1705"
"SNP880" "Gene1781"
"SNP880" "Gene1800"
"SNP880" "Gene3924"
"SNP880" "Gene4089"
"SNP880" "Gene4108"
"SNP884" "Gene1103"
"SNP884" "Gene3615"
"SNP884" "Gene3905"
"SNP884" "Gene3909"
"SNP884" "Gene3960"
"SNP887" "Gene838"
"SNP887" "Gene1926"
"SNP887" "Gene2082"
"SNP887" "Gene3913"
"SNP888" "Gene118"
"SNP888" "Gene240"
"SNP888" "Gene3437"
"SNP890" "Gene117"
"SNP890" "Gene2042"
"SNP890" "Gene2944"
"SNP890" "Gene3419"
"SNP890" "Gene3667"
"SNP892" "Gene157"
"SNP892" "Gene279"
"SNP892" "Gene282"
"SNP892" "Gene287"
"SNP892" "Gene289"
"SNP892" "Gene824"
"SNP892" "Gene829"
"SNP892" "Gene840"
"SNP892" "Gene1197"
"SNP892" "Gene1330"
"SNP892" "Gene1357"
"SNP892" "Gene1468"
"SNP892" "Gene1639"
"SNP892" "Gene1640"
"SNP892" "Gene1642"
"SNP892" "Gene1643"
"SNP892" "Gene1662"
"SNP892" "Gene1666"
"SNP892" "Gene1753"
"SNP892" "Gene1758"
"SNP892" "Gene1899"
"SNP892" "Gene2126"
"SNP892" "Gene2795"
"SNP892" "Gene2805"
"SNP892" "Gene2915"
"SNP892" "Gene3017"
"SNP892" "Gene3695"
"SNP893" "Gene326"
"SNP893" "Gene328"
"SNP893" "Gene1856"
"SNP893" "Gene2359"
"SNP893" "Gene2840"
"SNP893" "Gene3277"
"SNP893" "Gene3972"
"SNP895" "Gene326"
"SNP895" "Gene328"
"SNP895" "Gene2359"
"SNP895" "Gene2840"
"SNP895" "Gene3972"
"SNP896" "Gene705"
"SNP896" "Gene1110"
"SNP896" "Gene1603"
"SNP896" "Gene1751"
"SNP896" "Gene1972"
"SNP896" "Gene2119"
"SNP896" "Gene3231"
"SNP896" "Gene3466"
"SNP896" "Gene3501"
"SNP896" "Gene4308"
"SNP899" "Gene2191"
"SNP899" "Gene3575"
"SNP899" "Gene4345"
"SNP900" "Gene1711"
"SNP900" "Gene1894"
"SNP900" "Gene2954"
"SNP901" "Gene2191"
"SNP901" "Gene3575"
"SNP901" "Gene4183"
"SNP901" "Gene4345"
"SNP902" "Gene1088"
"SNP902" "Gene1577"
"SNP902" "Gene2034"
"SNP902" "Gene3586"
"SNP903" "Gene1088"
"SNP903" "Gene1577"
"SNP903" "Gene2034"
"SNP903" "Gene3586"
"SNP904" "Gene152"
"SNP904" "Gene3759"
"SNP906" "Gene152"
"SNP906" "Gene3759"
"SNP909" "Gene611"
"SNP909" "Gene1129"
"SNP910" "Gene1091"
"SNP917" "Gene552"
"SNP917" "Gene1412"
"SNP917" "Gene2421"
"SNP917" "Gene2859"
"SNP917" "Gene2876"
"SNP917" "Gene3139"
"SNP919" "Gene4274"
"SNP922" "Gene364"
"SNP922" "Gene1413"
"SNP922" "Gene3112"
"SNP922" "Gene3115"
"SNP922" "Gene3118"
"SNP922" "Gene3119"
"SNP922" "Gene3352"
"SNP922" "Gene3354"
"SNP922" "Gene3581"
"SNP922" "Gene3728"
"SNP922" "Gene3757"
"SNP922" "Gene4386"
"SNP925" "Gene122"
"SNP925" "Gene1990"
"SNP925" "Gene3505"
"SNP925" "Gene3912"
"SNP925" "Gene4267"
"SNP925" "Gene4313"
"SNP928" "Gene1591"
"SNP928" "Gene2957"
"SNP930" "Gene1556"
"SNP930" "Gene1830"
"SNP930" "Gene2936"
"SNP933" "Gene146"
"SNP933" "Gene616"
"SNP933" "Gene1025"
"SNP933" "Gene1155"
"SNP933" "Gene3129"
"SNP933" "Gene3158"
"SNP933" "Gene3159"
"SNP933" "Gene3283"
"SNP933" "Gene3702"
"SNP933" "Gene4158"
"SNP933" "Gene4231"
"SNP933" "Gene4270"
"SNP933" "Gene4288"
"SNP933" "Gene4377"
"SNP936" "Gene4459"
"SNP938" "Gene4467"
"SNP945" "Gene974"
"SNP945" "Gene2977"
"SNP945" "Gene3465"
"SNP945" "Gene3525"
"SNP945" "Gene4216"
"SNP946" "Gene193"
"SNP946" "Gene437"
"SNP946" "Gene1296"
"SNP946" "Gene1817"
"SNP946" "Gene3735"
"SNP949" "Gene1688"
"SNP949" "Gene2027"
"SNP949" "Gene2274"
"SNP949" "Gene2439"
"SNP949" "Gene2790"
"SNP949" "Gene2831"
"SNP949" "Gene2918"
"SNP949" "Gene3015"
"SNP949" "Gene4311"
"SNP949" "Gene4378"
"SNP953" "Gene655"
"SNP953" "Gene723"
"SNP953" "Gene1482"
"SNP953" "Gene1483"
"SNP953" "Gene1765"
"SNP953" "Gene1857"
"SNP953" "Gene2063"
"SNP953" "Gene2531"
"SNP953" "Gene3993"
"SNP953" "Gene4038"
"SNP956" "Gene614"
"SNP956" "Gene3064"
"SNP962" "Gene4467"
"SNP967" "Gene322"
"SNP967" "Gene349"
"SNP967" "Gene678"
"SNP967" "Gene1629"
"SNP967" "Gene1973"
"SNP967" "Gene2139"
"SNP967" "Gene2140"
"SNP967" "Gene2254"
"SNP967" "Gene2773"
"SNP967" "Gene2820"
"SNP967" "Gene2841"
"SNP967" "Gene2945"
"SNP967" "Gene3019"
"SNP967" "Gene3163"
"SNP967" "Gene3516"
"SNP967" "Gene3844"
"SNP967" "Gene3868"
"SNP967" "Gene3928"
"SNP967" "Gene4000"
"SNP967" "Gene4068"
"SNP967" "Gene4069"
"SNP967" "Gene4379"
"SNP967" "Gene4454"
"SNP969" "Gene644"
"SNP969" "Gene679"
"SNP969" "Gene741"
"SNP969" "Gene743"
"SNP969" "Gene805"
"SNP969" "Gene2036"
"SNP969" "Gene2610"
"SNP969" "Gene2744"
"SNP969" "Gene2829"
"SNP969" "Gene3000"
"SNP969" "Gene3198"
"SNP969" "Gene3533"
"SNP969" "Gene3576"
"SNP969" "Gene3779"
"SNP969" "Gene3970"
"SNP974" "Gene326"
"SNP974" "Gene1856"
"SNP974" "Gene3277"
"SNP974" "Gene3972"
"SNP975" "Gene388"
"SNP975" "Gene560"
"SNP975" "Gene869"
"SNP975" "Gene1267"
"SNP975" "Gene1394"
"SNP975" "Gene1452"
"SNP975" "Gene1532"
"SNP975" "Gene1534"
"SNP975" "Gene2469"
"SNP975" "Gene2676"
"SNP975" "Gene2982"
"SNP975" "Gene3329"
"SNP975" "Gene4418"
"SNP982" "Gene178"
"SNP982" "Gene843"
"SNP982" "Gene845"
"SNP982" "Gene1494"
"SNP985" "Gene1574"
"SNP985" "Gene2235"
"SNP985" "Gene3664"
"SNP986" "Gene55"
"SNP986" "Gene120"
"SNP986" "Gene438"
"SNP986" "Gene446"
"SNP986" "Gene601"
"SNP986" "Gene1144"
"SNP986" "Gene1176"
"SNP986" "Gene1214"
"SNP986" "Gene1397"
"SNP986" "Gene1892"
"SNP986" "Gene2282"
"SNP986" "Gene2546"
"SNP986" "Gene2888"
"SNP986" "Gene3072"
"SNP986" "Gene3076"
"SNP986" "Gene3204"
"SNP986" "Gene3205"
"SNP986" "Gene3817"
"SNP986" "Gene4013"
"SNP987" "Gene55"
"SNP987" "Gene120"
"SNP987" "Gene438"
"SNP987" "Gene446"
"SNP987" "Gene601"
"SNP987" "Gene1144"
"SNP987" "Gene1176"
"SNP987" "Gene1214"
"SNP987" "Gene1397"
"SNP987" "Gene1892"
"SNP987" "Gene2282"
"SNP987" "Gene2546"
"SNP987" "Gene2888"
"SNP987" "Gene3072"
"SNP987" "Gene3204"
"SNP987" "Gene3205"
"SNP987" "Gene3817"
"SNP987" "Gene4013"
"SNP991" "Gene84"
"SNP991" "Gene1060"
"SNP991" "Gene1310"
"SNP991" "Gene2270"
"SNP991" "Gene2926"
"SNP991" "Gene3357"
"SNP992" "Gene531"
"SNP992" "Gene4374"
"SNP994" "Gene618"
"SNP994" "Gene900"
"SNP994" "Gene3380"
"SNP1003" "Gene299"
"SNP1003" "Gene670"
"SNP1003" "Gene1231"
"SNP1003" "Gene2091"
"SNP1003" "Gene2268"
"SNP1003" "Gene2575"
"SNP1003" "Gene2879"
"SNP1003" "Gene4236"
"SNP1005" "Gene503"
"SNP1005" "Gene695"
"SNP1005" "Gene1312"
"SNP1005" "Gene1487"
"SNP1005" "Gene1524"
"SNP1005" "Gene1879"
"SNP1005" "Gene3181"
"SNP1005" "Gene3320"
"SNP1005" "Gene3432"
"SNP1005" "Gene4019"
"SNP1007" "Gene2092"
"SNP1007" "Gene2323"
"SNP1007" "Gene2950"
"SNP1007" "Gene4380"
"SNP1008" "Gene206"
"SNP1008" "Gene1159"
"SNP1010" "Gene265"
"SNP1010" "Gene530"
"SNP1010" "Gene922"
"SNP1010" "Gene1344"
"SNP1010" "Gene1345"
"SNP1010" "Gene1348"
"SNP1010" "Gene1349"
"SNP1010" "Gene1721"
"SNP1010" "Gene1722"
"SNP1010" "Gene1768"
"SNP1010" "Gene1944"
"SNP1010" "Gene1945"
"SNP1010" "Gene1948"
"SNP1010" "Gene1949"
"SNP1010" "Gene1950"
"SNP1010" "Gene1952"
"SNP1010" "Gene1953"
"SNP1010" "Gene1954"
"SNP1010" "Gene1955"
"SNP1010" "Gene1959"
"SNP1010" "Gene1960"
"SNP1010" "Gene1961"
"SNP1010" "Gene2396"
"SNP1010" "Gene2581"
"SNP1010" "Gene2702"
"SNP1010" "Gene2703"
"SNP1010" "Gene2706"
"SNP1010" "Gene2721"
"SNP1010" "Gene3207"
"SNP1010" "Gene3462"
"SNP1010" "Gene3545"
"SNP1010" "Gene3572"
"SNP1010" "Gene3787"
"SNP1010" "Gene3861"
"SNP1010" "Gene3874"
"SNP1010" "Gene4086"
"SNP1010" "Gene4177"
"SNP1010" "Gene4178"
"SNP1010" "Gene4179"
"SNP1010" "Gene4186"
"SNP1011" "Gene828"
"SNP1011" "Gene3080"
"SNP1012" "Gene478"
"SNP1012" "Gene1558"
"SNP1015" "Gene1027"
"SNP1015" "Gene1576"
"SNP1017" "Gene2623"
"SNP1017" "Gene2887"
